;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
28;supply;xgb;28;('gbtree', 100, 1, 0.6, 1.0, 3);24;3.0;1;;;;Adam;;minmax;0.0252461433410644;269.3324382305145;949365.8;751.0099;622.47095;0.0425363211491279;0.044216417;;
29;supply;xgb;29;('gbtree', 100, 1, 0.6, 1.0, 4);24;3.0;1;;;;Adam;;minmax;0.0255110263824462;326.9150235652924;963506.56;748.4659;619.8383;0.0419570453424774;0.043542523;;
30;supply;xgb;30;('gbtree', 100, 1, 0.6, 1.0, 5);24;3.0;1;;;;Adam;;minmax;0.0305259227752685;487.0953421592712;1093694.9;792.1866;656.89636;0.0435535051887037;0.045071892;;
31;supply;xgb;31;('gbtree', 100, 1, 0.6, 1.0, 6);24;3.0;1;;;;Adam;;minmax;0.0354716777801513;1017.5995407104492;1117633.1;786.3806;647.97736;0.0425534996247584;0.044037696;;
32;supply;xgb;32;('gbtree', 100, 1, 0.8, 0.5, 3);24;3.0;1;;;;Adam;;minmax;0.0254395008087158;313.4048249721527;984615.75;764.86456;637.7714;0.0434991018197833;0.045194704;;
33;supply;xgb;33;('gbtree', 100, 1, 0.8, 0.5, 4);24;3.0;1;;;;Adam;;minmax;0.0286786556243896;452.6172559261322;980008.75;755.4723;628.7291;0.0424578018117021;0.04406917;;
34;supply;xgb;34;('gbtree', 100, 1, 0.8, 0.5, 5);24;3.0;1;;;;Adam;;minmax;0.0270359516143798;540.9945540428162;1010400.56;756.04;627.04083;0.0418757398805985;0.043412983;;
35;supply;xgb;35;('gbtree', 100, 1, 0.8, 0.5, 6);24;3.0;1;;;;Adam;;minmax;0.0347630977630615;1008.0813009738922;1028651.8;748.0168;620.5173;0.0410089419919426;0.042496;;
36;supply;xgb;36;('gbtree', 100, 1, 0.8, 0.6, 3);24;3.0;1;;;;Adam;;minmax;0.0237488746643066;281.0968396663666;964336.56;756.8231;630.23676;0.0429933454620732;0.044679858;;
37;supply;xgb;37;('gbtree', 100, 1, 0.8, 0.6, 4);24;3.0;1;;;;Adam;;minmax;0.0274603366851806;370.0331416130066;968296.44;748.6765;620.1501;0.0419752808995516;0.043594304;;
38;supply;xgb;38;('gbtree', 100, 1, 0.8, 0.6, 5);24;3.0;1;;;;Adam;;minmax;0.039548635482788;728.5056235790253;1018943.3;759.0309;629.2478;0.0419461757347783;0.043484468;;
39;supply;xgb;39;('gbtree', 100, 1, 0.8, 0.6, 6);24;3.0;1;;;;Adam;;minmax;0.0360209941864013;786.4343423843384;1039226.44;753.66077;626.80804;0.0413296402687445;0.042795338;;
40;supply;xgb;40;('gbtree', 100, 1, 0.8, 0.8, 3);24;3.0;1;;;;Adam;;minmax;0.0235495567321777;330.66540145874023;1009785.2;776.47766;647.28345;0.0439387021398929;0.04561126;;
41;supply;xgb;41;('gbtree', 100, 1, 0.8, 0.8, 4);24;3.0;1;;;;Adam;;minmax;0.0282440185546875;476.3597300052643;1003662.8;763.5796;631.1446;0.0425159877354119;0.044120908;;
42;supply;xgb;42;('gbtree', 100, 1, 0.8, 0.8, 5);24;3.0;1;;;;Adam;;minmax;0.0314881801605224;537.2432405948639;1003280.1;752.30286;622.2721;0.041609221232632;0.043137915;;
43;supply;xgb;43;('gbtree', 100, 1, 0.8, 0.8, 6);24;3.0;1;;;;Adam;;minmax;0.0353627204895019;1041.7053771018982;1019455.44;744.12897;616.35626;0.04073631502733;0.04221259;;
44;supply;xgb;44;('gbtree', 100, 1, 0.8, 1.0, 3);24;3.0;1;;;;Adam;;minmax;0.0241773128509521;363.6412353515625;960187.06;754.0247;627.6835;0.042800307075194;0.044469252;;
45;supply;xgb;45;('gbtree', 100, 1, 0.8, 1.0, 4);24;3.0;1;;;;Adam;;minmax;0.0293986797332763;483.7600541114807;1008374.5;766.79443;636.739;0.04284949224197;0.04443254;;
46;supply;xgb;46;('gbtree', 100, 1, 0.8, 1.0, 5);24;3.0;1;;;;Adam;;minmax;0.0310971736907959;874.6944012641907;1061961.0;776.3677;643.26654;0.0426823236744808;0.04420502;;
47;supply;xgb;47;('gbtree', 100, 1, 0.8, 1.0, 6);24;3.0;1;;;;Adam;;minmax;0.0345540046691894;1012.0837314128876;1062370.1;761.5318;628.57245;0.0413674318620139;0.04284699;;
48;supply;xgb;48;('gbtree', 100, 1, 1.0, 0.5, 3);24;3.0;1;;;;Adam;;minmax;0.0116729736328125;302.0538098812103;974862.06;760.73956;630.50574;0.0430779400590858;0.044777896;;
49;supply;xgb;49;('gbtree', 100, 1, 1.0, 0.5, 4);24;3.0;1;;;;Adam;;minmax;0.027090311050415;364.4350473880768;1042605.5;779.45605;642.19495;0.043254289735712;0.044867076;;
50;supply;xgb;50;('gbtree', 100, 1, 1.0, 0.5, 5);24;3.0;1;;;;Adam;;minmax;0.0291531085968017;705.5436737537384;1009626.9;753.0521;626.54443;0.0418931503528868;0.04344997;;
51;supply;xgb;51;('gbtree', 100, 1, 1.0, 0.5, 6);24;3.0;1;;;;Adam;;minmax;0.0173964500427246;953.9598808288574;1034285.3;750.4741;626.5278;0.0413705037976614;0.042851772;;
52;supply;xgb;52;('gbtree', 100, 1, 1.0, 0.6, 3);24;3.0;1;;;;Adam;;minmax;0.0126967430114746;8.289659261703491;990955.8;767.2447;635.7128;0.0433665152156417;0.045066413;;
53;supply;xgb;53;('gbtree', 100, 1, 1.0, 0.6, 4);24;3.0;1;;;;Adam;;minmax;0.0298480987548828;316.7829692363739;1019642.44;769.2958;634.77783;0.0427465904000332;0.044340856;;
